trial	sample	tier	tier_name	status	blocked_by_tier	blocked_by_name	reason
trial1	pool2cellsRep2_S6	0	tissue_identity	FAIL			tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool2cellsRep2_S6	1	sort_validation	SUPPRESSED	0	tissue_identity	not evaluated -- tier 0 (tissue_identity) FAIL: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool2cellsRep2_S6	2	population_id	SUPPRESSED	0	tissue_identity	not evaluated -- tier 0 (tissue_identity) FAIL: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool2cellsRep2_S6	3	cluster_vr	SUPPRESSED	0	tissue_identity	suppressed by tier 0 (tissue_identity) FAIL: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool2cellsRep2_S6	4	individual_vr	SUPPRESSED	0	tissue_identity	suppressed by tier 0 (tissue_identity) FAIL: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool2cellsRep3_S7	0	tissue_identity	FAIL			tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool2cellsRep3_S7	1	sort_validation	SUPPRESSED	0	tissue_identity	not evaluated -- tier 0 (tissue_identity) FAIL: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool2cellsRep3_S7	2	population_id	SUPPRESSED	0	tissue_identity	not evaluated -- tier 0 (tissue_identity) FAIL: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool2cellsRep3_S7	3	cluster_vr	SUPPRESSED	0	tissue_identity	suppressed by tier 0 (tissue_identity) FAIL: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
trial1	pool2cellsRep3_S7	4	individual_vr	SUPPRESSED	0	tissue_identity	suppressed by tier 0 (tissue_identity) FAIL: tissue_verdict=MOE -- the main-olfactory marker panel is above the tissue floor while the VNO-specific panel (Trpc2, Vmn1r*, Vmn2r*) is not. This is the WRONG TISSUE, not a failed VNO sort; Trpc2=0 is the expected value for main olfactory epithelium. No VR biology is reportable and the remedy is wet-lab (dissection / sort gate), not re-quantification.
